Wavelength,Intensity # Note: second half of data set dropped
3526.3786873547324,1284
3529.47014593709,1286
3532.5601858708742,1310
3535.6488078855655,1285
3538.7360127102147,1276
3541.8218010734345,1291
3544.9061737033862,1264
3547.9891313278149,1215
3551.0706746740088,1208
3554.1508044688326,1264
3557.2295214387104,1275
3560.3068263096284,1239
3563.3827198071413,1226
3566.4572026563583,1250
3569.5302755819685,1199
3572.6019393082188,1182
3575.6721945589143,1198
3578.7410420574379,1202
3581.8084825267379,1175
3584.8745166893204,1210
3587.9391452672589,1199
3591.00236898221,1196
3594.0641885553796,1229
3597.1246047075492,1185
3600.1836181590679,1200
3603.2412296298517,1221
3606.2974398393926,1188
3609.3522495067391,1182
3612.4056593505211,1220
3615.45767008893,1189
3618.5082824397323,1167
3621.5574971202659,1188
3624.6053148474384,1169
3627.6517363377206,1188
3630.6967623071705,1142
3633.7403934714039,1219
3636.782630545611,1146
3639.8234742445675,1107
3642.8629252826049,1159
3645.900984373633,1161
3648.9376522311431,1147
3651.9729295681918,1190
3655.0068170974137,1162
3658.0393155310085,1154
3661.0704255807686,1184
3664.1001479580464,1151
3667.1284833737736,1137
3670.1554325384623,1162
3673.180996162193,1150
3676.2051749546281,1145
3679.227969625008,1147
3682.24938088214,1172
3685.2694094344261,1149
3688.2880559898294,1154
3691.3053212558934,1132
3694.321205939752,1146
3697.3357107481042,1126
3700.3488363872384,1170
3703.3605835630115,1172
3706.3709529808675,1185
3709.3799453458287,1163
3712.3875613625005,1170
3715.3938017350592,1130
3718.3986671672737,1113
3721.4021583624854,1138
3724.4042760236189,1129
3727.405020853188,1143
3730.4043935532754,1163
3733.4023948255617,1140
3736.3990253712927,1129
3739.3942858913142,1126
3742.3881770860444,1112
3745.3806996554849,1135
3748.3718542992319,1123
3751.3616417164558,1159
3754.3500626059122,1118
3757.3371176659475,1112
3760.3228075944917,1110
3763.3071330890525,1122
3766.2900948467304,1099
3769.2716935642147,1150
3772.2519299377764,1134
3775.2308046632752,1111
3778.2083184361527,1132
3781.18447195145,1105
3784.1592659037815,1140
3787.1327009873603,1102
3790.1047778959837,1098
3793.0754973230378,1078
3796.0448599614974,1079
3799.0128665039265,1150
3801.9795176424795,1144
3804.9448140689019,1105
3807.9087564745296,1057
3810.8713455502802,1118
3813.8325819866768,1120
3816.7924664738184,1093
3819.7509997014113,1108
3822.7081823587414,1084
3825.6640151346928,1071
3828.6184987177348,1117
3831.5716337959384,1091
3834.5234210569615,1073
3837.4738611880603,1093
3840.4229548760759,1111
3843.3707028074532,1121
3846.3171056682295,1108
3849.2621641440237,1070
3852.2058789200728,1094
3855.1482506811863,1106
3858.0892801117789,1098
3861.028967895867,1079
3863.9673147170543,1103
3866.9043212585384,1103
3869.8399882031226,1089
3872.7743162332063,1084
3875.7073060307757,1071
3878.6389582774264,1087
3881.5692736543406,1052
3884.4982528423116,1092
3887.4258965217214,1083
3890.3522053725537,1062
3893.2771800743903,1122
3896.2008213064164,1084
3899.1231297474096,1108
3902.044106075753,1061
3904.9637509694276,1046
3907.8820651060159,1087
3910.7990491626988,1063
3913.7147038162693,1066
3916.6290297431024,1052
3919.5420276191871,1082
3922.453698120109,1044
3925.3640419210715,1065
3928.2730596968613,1013
117.81040077578655,617
122.51378642971758,618
127.21488124521056,626
131.91368652571691,628
136.61020357374218,634
141.30443369086424,660
145.99637817774055,681
150.68603833410816,742
155.37341545876916,797
160.05851084960887,851
164.74132580358491,888
169.42186161673453,954
174.10011958417454,999
178.77610100010133,1032
183.44980715779093,1057
188.12123934959891,1110
192.7903988669641,1169
197.45728700041218,1173
202.12190503954116,1220
206.78425427305774,1280
211.44433598872274,1311
216.10215147340932,1295
220.75770201305568,1331
225.41098889271234,1377
230.06201339649851,1387
234.71077680762755,1395
239.35728040841423,1385
244.00152548025653,1339
248.64351330363934,1302
253.28324515814529,1297
257.92072232245846,1281
262.5559460743425,1278
267.18891769067341,1250
271.8196384474104,1234
276.44810961961048,1220
281.07433248143934,1227
285.69830830615319,1211
290.32003836610966,1202
294.93952393276777,1197
299.55676627668436,1214
304.17176666752493,1210
308.78452637404553,1178
313.39504666412904,1195
318.0033288047307,1222
322.60937406194716,1206
327.21318370095105,1178
331.81475898603821,1180
336.41410118060594,1173
341.01121154716384,1197
345.60609134733386,1205
350.19874184183936,1175
354.78916429052333,1201
359.37735995234107,1152
363.963330085342,1182
368.54707594672072,1157
373.1285987927622,1222
377.70789987887474,1179
382.28498045957895,1213
386.85984178852232,1198
391.43248511845741,1187
396.00291170126366,1195
400.57112278793647,1188
405.13711962859452,1260
409.70090347246878,1277
414.26247556792077,1233
418.82183716243526,1252
423.37898950261297,1208
427.93393383418152,1232
432.48667140199905,1259
437.03720345003967,1230
441.585531221408,1217
446.13165595833925,1236
450.67557890219905,1253
455.2173012934727,1231
459.75682437177966,1220
464.29414937586625,1218
468.8292775436239,1205
473.36221011205271,1250
477.8929483173124,1272
482.42149339467142,1274
486.9478465785578,1239
491.4720091024974,1234
495.99398219920113,1238
500.51376710047771,1239
505.0313650372882,1205
509.54677723973145,1265
514.06000493704778,1256
518.571049357608,1250
523.07991172893526,1227
527.58659327768328,1232
532.09109522966173,1244
536.59341880981083,1187
541.09356524221585,1243
545.59153575012169,1201
550.08733155588925,1267
554.58095388105357,1236
559.07240394628388,1243
563.56168297140175,1213
568.04879217537018,1224
572.53373277631181,1235
577.01650599148707,1234
581.49711303732329,1246
585.97555512937834,1205
590.451833482377,1267
594.9259493101963,1272
599.3979038258658,1261
603.86769824156363,1235
608.33533376863488,1247
612.80081161757334,1256
617.26413299802152,1278
621.72529911879974,1279
626.18431118786975,1267
630.64117041236386,1254
635.09587799855581,1249
639.548435151908,1312
643.99884307701723,1234
648.44710297766869,1243
652.89321605678924,1246
657.33718351647622,1298
661.77900655798658,1289
666.21868638175874,1275
670.65622418737985,1219
675.0916211736112,1240
679.52487853838829,1239
683.95599747879533,1275
688.38497919110887,1263
692.81182487075421,1294
697.23653571234536,1308
701.659112909656,1254
706.07955765563747,1261
710.497871142401,1264
714.91405456125722,1278
719.32810910266562,1264
723.74003595627073,1341
728.14983631089854,1272
732.55751135453829,1305
736.96306227437162,1257
741.36649025674342,1301
745.76779648719094,1269
750.166982150422,1334
754.56404843031851,1350
758.9589965099658,1365
763.3518275716051,1355
767.7425427966773,1341
772.13114336579747,1362
776.517630458773,1338
780.90200525458567,1373
785.28426893140931,1328
789.66442266659942,1343
794.04246763670744,1290
798.41840501745537,1327
802.79223598377212,1328
807.16396170976077,1291
811.53358336873134,1283
815.90110213315711,1276
820.26651917473646,1282
824.629835664331,1268
828.99105277200579,1331
833.35017166702892,1325
837.70719351783919,1289
842.06211949209683,1287
846.41495075663988,1328
850.765688477506,1311
855.114333819929,1290
859.46088794834577,1311
863.80535202638566,1370
868.1477272168886,1304
872.4880146818723,1317
876.82621558257961,1310
881.16233107943117,1312
885.49636233207275,1302
889.82831049933884,1326
894.15817673926358,1349
898.48596220909894,1311
902.81166806529291,1345
