Wavelength,Intensity # Note: second half of data set dropped
2651.2613392859548,1500
2654.7575295465977,1555
2658.2520904073863,1497
2661.7450227274767,1521
2665.2363273654773,1494
2668.7260051794619,1527
2672.2140570269676,1472
2675.70048376498,1522
2679.1852862499563,1550
2682.6684653378124,1513
2686.150021883921,1571
2689.6299567431288,1524
2693.1082707697333,1552
2696.5849648175026,1549
2700.0600397396665,1503
2703.5334963889163,1520
2707.0053356174085,1522
2710.4755582767739,1561
2713.9441652180922,1537
2717.411157291921,1521
2720.8765353482795,1537
2724.3403002366595,1512
2727.8024528060105,1568
2731.2629939047565,1527
2734.7219243807867,1520
2738.1792450814592,1510
2741.6349568536007,1507
2745.0890605435106,1512
2748.5415569969537,1568
2751.9924470591632,1535
2755.4417315748524,1511
2758.8894113881925,1587
2762.3354873428343,1486
2765.7799602819014,1519
2769.2228310479859,1501
2772.6641004831545,1539
2776.1037694289444,1589
2779.5418387263726,1568
2782.9783092159178,1580
2786.413181737551,1527
2789.8464571306995,1559
2793.2781362342812,1493
2796.7082198866738,1511
2800.1367089257528,1511
2803.56360418885,1510
2806.9889065127809,1559
2810.41261673384,1552
2813.8347356878003,1550
2817.255264209909,1579
2820.6742031348949,1538
2824.0915532969666,1558
2827.5073155298123,1591
2830.9214906665948,1572
2834.3340795399617,1587
2837.7450829820409,1599
2841.1545018244378,1568
2844.5623368982506,1612
2847.9685890340425,1606
2851.3732590618747,1584
2854.7763478112756,1616
2858.1778561112733,1638
2861.57778479037,1631
2864.9761346765536,1623
2868.3729065972911,1671
2871.7681013795464,1709
2875.1617198497588,1671
2878.553762833857,1661
2881.9442311572548,1661
2885.3331256448528,1650
2888.7204471210371,1647
2892.1061964096825,1697
2895.4903743341529,1652
2898.8729817173025,1687
2902.2540193814621,1598
2905.6334881484636,1648
2909.0113888396263,1691
2912.3877222757565,1689
2915.7624892771491,1694
2919.1356906635938,1653
2922.5073272543705,1666
2925.8773998682464,1635
2929.2459093234847,1642
2932.6128564378414,1621
2935.9782420285592,1636
2939.3420669123807,1652
2942.704331905541,1655
2946.0650378237624,1629
2949.4241854822722,1616
2952.7817756957775,1628
2956.1378092784962,1603
2959.4922870441314,1550
2962.845209805886,1577
2966.1965783764608,1618
2969.5463935680473,1556
2972.8946561923367,1541
2976.2413670605165,1543
2979.5865269832848,1556
2982.9301367708158,1500
2986.2721972327945,1505
2989.6127091784074,1499
2992.9516734163353,1489
2996.2890907547608,1493
2999.6249620013677,1516
3002.9592879633365,1477
3006.2920694473523,1520
3009.6233072595987,1490
3012.9530022057661,1452
3016.2811550910465,1498
3019.6077667201243,1478
3022.9328378972004,1494
3026.2563694259661,1496
3029.5783621096307,1489
3032.8988167508978,1486
3036.2177341519782,1479
3039.5351151145878,1495
3042.850960439946,1494
3046.165270928781,1529
3049.4780473813262,1477
3052.7892905973222,1486
3056.0990013760111,1522
3059.4071805161529,1507
3062.713828816004,1441
3066.0189470733312,1473
3069.3225360854194,1457
3072.6245966490496,1452
3075.9251295605227,1442
3079.2241356156392,1452
3082.521615609714,1468
3085.81757033758,1447
3089.1120005935682,1456
3092.4049071715272,1424
3095.6962908648184,1438
3098.9861524663083,1457
3102.2744927683889,1470
3105.5613125629479,1491
3108.8466126413987,1393
3112.1303937946632,1439
3115.4126568131815,1390
3118.6934024869006,1434
3121.9726316052875,1424
3125.2503449573251,1435
3128.5265433315053,1426
3131.8012275158417,1416
3135.074398297862,1467
3138.346056464612,1459
3141.616202802652,1381
3144.88483809806,1394
3148.1519631364336,1449
3151.4175787028835,1470
3154.6816855820525,1446
3157.9442845580834,1420
3161.2053764146476,1425
3164.4649619349366,1407
3167.7230419016596,1435
3170.9796170970549,1421
3174.2346883028622,1406
3177.4882563003612,1440
3180.7403218703439,1470
3183.9908857931223,1437
3187.2399488485426,1427
3190.487511815958,1399
3193.73357547426,1440
3196.9781406018428,1421
3200.2212079766468,1404
3203.4627783761225,1435
3206.7028525772494,1440
3209.9414313565303,1485
3213.1785154899972,1460
3216.4141057532015,1384
3219.6482029212275,1409
3222.8808077686754,1408
3226.1119210696834,1424
3229.3415435979077,1417
3232.5696761265408,1469
3235.7963194282966,1392
3239.0214742754179,1398
3242.2451414396764,1377
3245.4673216923748,1403
3248.6880158043423,1380
3251.9072245459356,1385
3255.1249486870547,1444
3258.3411889971103,1424
3261.5559462450547,1373
3264.7692211993708,1402
3267.9810146280761,1381
3271.1913272987113,1422
3274.4001599783569,1367
3277.6075134336206,1405
3280.8133884306426,1394
3284.0177857351046,1404
3287.2207061122153,1400
3290.42215032672,1369
3293.6221191428904,1369
3296.820613324544,1382
3300.0176336350305,1387
3303.2131808372305,1411
3306.4072556935644,1370
3309.599858965983,1367
3312.7909914159864,1373
3315.9806538045978,1378
3319.1688468923894,1358
3322.3555714394588,1360
3325.5408282054468,1393
3328.7246179495378,1399
3331.9069414304468,1399
3335.0877994064358,1381
3338.2671926353014,1375
3341.4451218743779,1372
3344.6215878805397,1395
3347.7965914102133,1408
3350.9701332193508,1386
3354.1422140634495,1373
3357.3128346975554,1392
3360.4819958762491,1397
3363.6496983536581,1365
3366.815942883446,1373
3369.9807302188274,1366
3373.1440611125563,1382
3376.3059363169305,1396
3379.4663565837855,1381
3382.6253226645185,1367
3385.7828353100485,1357
3388.9388952708614,1394
3392.0935032969737,1385
3395.2466601379565,1377
3398.398366542915,1345
3401.5486232605181,1349
3404.6974310389651,1368
3407.8447906260189,1351
3410.9907027689696,1401
3414.1351682146742,1372
3417.2781877095313,1394
3420.4197619994829,1371
3423.5598918300238,1378
3426.6985779461957,1340
3429.8358210926017,1344
3432.9716220133778,1334
3436.1059814522232,1375
3439.2389001523788,1336
3442.3703788566418,1322
3445.5004183073597,1361
3448.629019246433,1354
3451.7561824153072,1364
3454.8819085549931,1391
3458.0061984060412,1348
3461.1290527085657,1352
3464.2504722022259,1345
3467.3704576262407,1304
3470.4890097193747,1344
3473.6061292199593,1308
3476.7218168658728,1375
3479.8360733945483,1346
3482.9488995429765,1354
3486.0602960477045,1392
3489.1702636448372,1373
3492.2788030700267,1361
3495.3859150584976,1321
3498.491600345018,1350
3501.5958596639193,1312
3504.6986937490874,1346
3507.8001033339697,1351
3510.900089151577,1377
3513.9986519344657,1303
3517.0957924147624,1315
3520.1915113241521,1327
3523.2858093938758,1302
3526.3786873547324,1359
3529.47014593709,1336
3532.5601858708742,1337
3535.6488078855655,1367
3538.7360127102147,1341
3541.8218010734345,1350
3544.9061737033862,1319
3547.9891313278149,1328
3551.0706746740088,1315
3554.1508044688326,1300
3557.2295214387104,1327
3560.3068263096284,1317
3563.3827198071413,1327
3566.4572026563583,1321
3569.5302755819685,1312
3572.6019393082188,1280
3575.6721945589143,1328
3578.7410420574379,1332
3581.8084825267379,1346
3584.8745166893204,1335
3587.9391452672589,1305
3591.00236898221,1333
3594.0641885553796,1334
3597.1246047075492,1305
3600.1836181590679,1316
3603.2412296298517,1274
3606.2974398393926,1367
3609.3522495067391,1261
3612.4056593505211,1273
3615.45767008893,1298
3618.5082824397323,1320
3621.5574971202659,1306
3624.6053148474384,1310
3627.6517363377206,1357
3630.6967623071705,1314
3633.7403934714039,1291
3636.782630545611,1339
3639.8234742445675,1311
3642.8629252826049,1289
3645.900984373633,1298
3648.9376522311431,1302
3651.9729295681918,1309
3655.0068170974137,1302
3658.0393155310085,1278
3661.0704255807686,1301
3664.1001479580464,1291
3667.1284833737736,1279
3670.1554325384623,1295
3673.180996162193,1296
3676.2051749546281,1304
3679.227969625008,1294
3682.24938088214,1313
3685.2694094344261,1258
3688.2880559898294,1308
3691.3053212558934,1309
3694.321205939752,1257
3697.3357107481042,1287
3700.3488363872384,1287
3703.3605835630115,1270
3706.3709529808675,1308
3709.3799453458287,1271
3712.3875613625005,1273
3715.3938017350592,1254
3718.3986671672737,1270
3721.4021583624854,1317
3724.4042760236189,1331
3727.405020853188,1272
3730.4043935532754,1274
3733.4023948255617,1290
3736.3990253712927,1304
3739.3942858913142,1255
3742.3881770860444,1268
3745.3806996554849,1291
3748.3718542992319,1241
3751.3616417164558,1270
3754.3500626059122,1255
3757.3371176659475,1265
3760.3228075944917,1283
3763.3071330890525,1262
3766.2900948467304,1235
3769.2716935642147,1298
3772.2519299377764,1265
3775.2308046632752,1216
3778.2083184361527,1228
3781.18447195145,1252
3784.1592659037815,1252
3787.1327009873603,1250
3790.1047778959837,1265
3793.0754973230378,1251
3796.0448599614974,1232
3799.0128665039265,1265
3801.9795176424795,1258
3804.9448140689019,1238
3807.9087564745296,1228
3810.8713455502802,1267
3813.8325819866768,1260
3816.7924664738184,1238
3819.7509997014113,1247
3822.7081823587414,1265
3825.6640151346928,1252
3828.6184987177348,1234
3831.5716337959384,1251
3834.5234210569615,1217
3837.4738611880603,1234
3840.4229548760759,1244
3843.3707028074532,1289
3846.3171056682295,1216
3849.2621641440237,1237
3852.2058789200728,1194
3855.1482506811863,1257
3858.0892801117789,1261
3861.028967895867,1243
3863.9673147170543,1227
3866.9043212585384,1237
3869.8399882031226,1219
3872.7743162332063,1191
3875.7073060307757,1253
3878.6389582774264,1240
3881.5692736543406,1178
3884.4982528423116,1225
3887.4258965217214,1231
3890.3522053725537,1223
3893.2771800743903,1213
3896.2008213064164,1203
3899.1231297474096,1239
3902.044106075753,1201
3904.9637509694276,1225
3907.8820651060159,1228
3910.7990491626988,1231
3913.7147038162693,1247
3916.6290297431024,1200
3919.5420276191871,1182
